index,checking_status,months_duration,credit_history,purpose,credit_amount,savings_status,employment_since,installment_rate,personal_status_sex,other_debtors,residence_since,property,age,other_installment_plans,housing,existing_credits,job,people_liable,telephone,foreign_worker,target
21,< 0 DM,6,existing credits paid duly till now,radio/television,2647,500 ≤ ... < 1000 DM,1 ≤ ... < 4 years,2,male: single,none,3,real estate,44,none,rent,1,skilled employee/official,2,none,yes,0
22,< 0 DM,10,critical account / other credits elsewhere,car (new),2241,< 100 DM,< 1 year,1,male: single,none,3,real estate,48,none,rent,2,unskilled - resident,2,none,no,0
23,0 ≤ ... < 200 DM,12,critical account / other credits elsewhere,car (used),1804,100 ≤ ... < 500 DM,< 1 year,3,male: single,none,4,building-soc savings / life insurance,44,none,own,1,skilled employee/official,1,none,yes,0
24,no checking account,10,critical account / other credits elsewhere,furniture/equipment,2069,unknown / none,1 ≤ ... < 4 years,2,male: married/widowed,none,1,car or other (not in savings),26,none,own,2,skilled employee/official,1,none,no,0
25,< 0 DM,6,existing credits paid duly till now,furniture/equipment,1374,< 100 DM,1 ≤ ... < 4 years,1,male: single,none,2,real estate,36,bank,own,1,unskilled - resident,1,"yes, registered",yes,0
26,no checking account,6,no credits / all paid duly,radio/television,426,< 100 DM,≥ 7 years,4,male: married/widowed,none,4,car or other (not in savings),39,none,own,1,unskilled - resident,1,none,yes,0
27,≥ 200 DM / salary assignment ≥ 1y,12,all credits at this bank paid duly,radio/television,409,≥ 1000 DM,1 ≤ ... < 4 years,3,female: divorced/separated/married,none,3,real estate,42,none,rent,2,skilled employee/official,1,none,yes,0
28,0 ≤ ... < 200 DM,7,existing credits paid duly till now,radio/television,2415,< 100 DM,1 ≤ ... < 4 years,3,male: single,guarantor,2,real estate,34,none,own,1,skilled employee/official,1,none,yes,0
29,< 0 DM,60,delay in past,business,6836,< 100 DM,≥ 7 years,3,male: single,none,4,unknown / none,63,none,own,2,skilled employee/official,1,"yes, registered",yes,1
30,0 ≤ ... < 200 DM,18,existing credits paid duly till now,business,1913,≥ 1000 DM,< 1 year,3,male: married/widowed,none,3,real estate,36,bank,own,1,skilled employee/official,1,"yes, registered",yes,0
31,< 0 DM,24,existing credits paid duly till now,furniture/equipment,4020,< 100 DM,1 ≤ ... < 4 years,2,male: single,none,2,car or other (not in savings),27,stores,own,1,skilled employee/official,1,none,yes,0
32,0 ≤ ... < 200 DM,18,existing credits paid duly till now,car (new),5866,100 ≤ ... < 500 DM,1 ≤ ... < 4 years,2,male: single,none,2,car or other (not in savings),30,none,own,2,skilled employee/official,1,"yes, registered",yes,0
33,no checking account,12,critical account / other credits elsewhere,business,1264,unknown / none,≥ 7 years,4,male: single,none,4,unknown / none,57,none,rent,1,unskilled - resident,1,none,yes,0
34,≥ 200 DM / salary assignment ≥ 1y,12,existing credits paid duly till now,furniture/equipment,1474,< 100 DM,< 1 year,4,female: divorced/separated/married,none,1,building-soc savings / life insurance,33,bank,own,1,management/self-employed/highly-qualified/officer,1,"yes, registered",yes,0
35,0 ≤ ... < 200 DM,45,critical account / other credits elsewhere,radio/television,4746,< 100 DM,< 1 year,4,male: single,none,2,building-soc savings / life insurance,25,none,own,2,unskilled - resident,1,none,yes,1
36,no checking account,48,critical account / other credits elsewhere,education,6110,< 100 DM,1 ≤ ... < 4 years,1,male: single,none,3,unknown / none,31,bank,for free,1,skilled employee/official,1,"yes, registered",yes,0
37,≥ 200 DM / salary assignment ≥ 1y,18,existing credits paid duly till now,radio/television,2100,< 100 DM,1 ≤ ... < 4 years,4,male: single,co-applicant,2,real estate,37,stores,own,1,skilled employee/official,1,none,yes,1
38,≥ 200 DM / salary assignment ≥ 1y,10,existing credits paid duly till now,domestic appliances,1225,< 100 DM,1 ≤ ... < 4 years,2,male: single,none,2,car or other (not in savings),37,none,own,1,skilled employee/official,1,"yes, registered",yes,0
39,0 ≤ ... < 200 DM,9,existing credits paid duly till now,radio/television,458,< 100 DM,1 ≤ ... < 4 years,4,male: single,none,3,real estate,24,none,own,1,skilled employee/official,1,none,yes,0
40,no checking account,30,existing credits paid duly till now,radio/television,2333,500 ≤ ... < 1000 DM,≥ 7 years,4,male: single,none,2,car or other (not in savings),30,bank,own,1,management/self-employed/highly-qualified/officer,1,none,yes,0
41,0 ≤ ... < 200 DM,12,existing credits paid duly till now,radio/television,1158,500 ≤ ... < 1000 DM,1 ≤ ... < 4 years,3,male: divorced/separated,none,1,car or other (not in savings),26,none,own,1,skilled employee/official,1,"yes, registered",yes,0
42,0 ≤ ... < 200 DM,18,delay in past,repairs,6204,< 100 DM,1 ≤ ... < 4 years,2,male: single,none,4,real estate,44,none,own,1,unskilled - resident,2,"yes, registered",yes,0
43,< 0 DM,30,critical account / other credits elsewhere,car (used),6187,100 ≤ ... < 500 DM,4 ≤ ... < 7 years,1,male: married/widowed,none,4,car or other (not in savings),24,none,rent,2,skilled employee/official,1,none,yes,0
44,< 0 DM,48,critical account / other credits elsewhere,car (used),6143,< 100 DM,≥ 7 years,4,female: divorced/separated/married,none,4,unknown / none,58,stores,for free,2,unskilled - resident,1,none,yes,1
45,no checking account,11,critical account / other credits elsewhere,car (new),1393,< 100 DM,< 1 year,4,female: divorced/separated/married,none,4,car or other (not in savings),35,none,own,2,management/self-employed/highly-qualified/officer,1,none,yes,0
46,no checking account,36,existing credits paid duly till now,radio/television,2299,500 ≤ ... < 1000 DM,≥ 7 years,4,male: single,none,4,car or other (not in savings),39,none,own,1,skilled employee/official,1,none,yes,0
47,< 0 DM,6,existing credits paid duly till now,car (used),1352,500 ≤ ... < 1000 DM,unemployed,1,female: divorced/separated/married,none,2,building-soc savings / life insurance,23,none,rent,1,unemployed/unskilled - non-resident,1,"yes, registered",yes,0
48,no checking account,11,critical account / other credits elsewhere,car (new),7228,< 100 DM,1 ≤ ... < 4 years,1,male: single,none,4,building-soc savings / life insurance,39,none,own,2,unskilled - resident,1,none,yes,0
49,no checking account,12,existing credits paid duly till now,radio/television,2073,100 ≤ ... < 500 DM,1 ≤ ... < 4 years,4,female: divorced/separated/married,co-applicant,2,real estate,28,none,own,1,skilled employee/official,1,none,yes,0
50,0 ≤ ... < 200 DM,24,delay in past,furniture/equipment,2333,unknown / none,< 1 year,4,male: single,none,2,building-soc savings / life insurance,29,bank,own,1,unskilled - resident,1,none,yes,0
51,0 ≤ ... < 200 DM,27,delay in past,car (used),5965,< 100 DM,≥ 7 years,1,male: single,none,2,car or other (not in savings),30,none,own,2,management/self-employed/highly-qualified/officer,1,"yes, registered",yes,0
52,no checking account,12,existing credits paid duly till now,radio/television,1262,< 100 DM,1 ≤ ... < 4 years,3,male: single,none,2,car or other (not in savings),25,none,own,1,skilled employee/official,1,none,yes,0
53,no checking account,18,existing credits paid duly till now,car (used),3378,unknown / none,1 ≤ ... < 4 years,2,male: single,none,1,building-soc savings / life insurance,31,none,own,1,skilled employee/official,1,"yes, registered",yes,0
54,0 ≤ ... < 200 DM,36,delay in past,car (new),2225,< 100 DM,≥ 7 years,4,male: single,none,4,unknown / none,57,bank,for free,2,skilled employee/official,1,"yes, registered",yes,1
55,no checking account,6,all credits at this bank paid duly,car (new),783,unknown / none,1 ≤ ... < 4 years,1,male: single,guarantor,2,real estate,26,stores,own,1,unskilled - resident,2,none,yes,0
56,0 ≤ ... < 200 DM,12,existing credits paid duly till now,radio/television,6468,unknown / none,unemployed,2,male: single,none,1,unknown / none,52,none,own,1,management/self-employed/highly-qualified/officer,1,"yes, registered",yes,1
57,no checking account,36,critical account / other credits elsewhere,radio/television,9566,< 100 DM,1 ≤ ... < 4 years,2,female: divorced/separated/married,none,2,car or other (not in savings),31,stores,own,2,skilled employee/official,1,none,yes,0
58,≥ 200 DM / salary assignment ≥ 1y,18,existing credits paid duly till now,car (new),1961,< 100 DM,≥ 7 years,3,female: divorced/separated/married,none,2,car or other (not in savings),23,none,own,1,management/self-employed/highly-qualified/officer,1,none,yes,0
59,< 0 DM,36,critical account / other credits elsewhere,furniture/equipment,6229,< 100 DM,< 1 year,4,female: divorced/separated/married,co-applicant,4,unknown / none,23,none,rent,2,unskilled - resident,1,"yes, registered",yes,1
60,0 ≤ ... < 200 DM,9,existing credits paid duly till now,business,1391,< 100 DM,1 ≤ ... < 4 years,2,male: married/widowed,none,1,real estate,27,bank,own,1,skilled employee/official,1,"yes, registered",yes,0
61,0 ≤ ... < 200 DM,15,critical account / other credits elsewhere,radio/television,1537,unknown / none,≥ 7 years,4,male: single,guarantor,4,real estate,50,none,own,2,skilled employee/official,1,"yes, registered",yes,0
62,0 ≤ ... < 200 DM,36,no credits / all paid duly,business,1953,< 100 DM,≥ 7 years,4,male: single,none,4,unknown / none,61,none,for free,1,management/self-employed/highly-qualified/officer,1,"yes, registered",yes,1
63,0 ≤ ... < 200 DM,48,no credits / all paid duly,business,14421,< 100 DM,1 ≤ ... < 4 years,2,male: single,none,2,car or other (not in savings),25,none,own,1,skilled employee/official,1,"yes, registered",yes,1
64,no checking account,24,existing credits paid duly till now,radio/television,3181,< 100 DM,< 1 year,4,female: divorced/separated/married,none,4,building-soc savings / life insurance,26,none,own,1,skilled employee/official,1,"yes, registered",yes,0
65,no checking account,27,existing credits paid duly till now,repairs,5190,unknown / none,≥ 7 years,4,male: single,none,4,building-soc savings / life insurance,48,none,own,4,skilled employee/official,2,"yes, registered",yes,0
66,no checking account,12,existing credits paid duly till now,radio/television,2171,< 100 DM,< 1 year,2,female: divorced/separated/married,none,2,car or other (not in savings),29,bank,own,1,skilled employee/official,1,none,yes,0
67,0 ≤ ... < 200 DM,12,existing credits paid duly till now,car (new),1007,≥ 1000 DM,1 ≤ ... < 4 years,4,male: married/widowed,none,1,real estate,22,none,own,1,skilled employee/official,1,none,yes,0
68,no checking account,36,existing credits paid duly till now,education,1819,< 100 DM,1 ≤ ... < 4 years,4,male: single,none,4,unknown / none,37,stores,for free,1,skilled employee/official,1,"yes, registered",yes,1
69,no checking account,36,existing credits paid duly till now,radio/television,2394,unknown / none,1 ≤ ... < 4 years,4,female: divorced/separated/married,none,4,car or other (not in savings),25,none,own,1,skilled employee/official,1,none,yes,0
70,no checking account,36,existing credits paid duly till now,car (used),8133,< 100 DM,1 ≤ ... < 4 years,1,female: divorced/separated/married,none,2,building-soc savings / life insurance,30,bank,own,1,skilled employee/official,1,none,yes,0
71,no checking account,7,critical account / other credits elsewhere,radio/television,730,unknown / none,≥ 7 years,4,male: single,none,2,building-soc savings / life insurance,46,none,rent,2,unskilled - resident,1,"yes, registered",yes,0
72,< 0 DM,8,critical account / other credits elsewhere,others,1164,< 100 DM,≥ 7 years,3,male: single,none,4,unknown / none,51,bank,for free,2,management/self-employed/highly-qualified/officer,2,"yes, registered",yes,0
73,0 ≤ ... < 200 DM,42,critical account / other credits elsewhere,business,5954,< 100 DM,4 ≤ ... < 7 years,2,female: divorced/separated/married,none,1,real estate,41,bank,own,2,unskilled - resident,1,none,yes,0
74,< 0 DM,36,existing credits paid duly till now,education,1977,unknown / none,≥ 7 years,4,male: single,none,4,unknown / none,40,none,own,1,management/self-employed/highly-qualified/officer,1,"yes, registered",yes,1
75,< 0 DM,12,critical account / other credits elsewhere,car (used),1526,< 100 DM,≥ 7 years,4,male: single,none,4,unknown / none,66,none,for free,2,management/self-employed/highly-qualified/officer,1,none,yes,0
76,< 0 DM,42,existing credits paid duly till now,radio/television,3965,< 100 DM,< 1 year,4,male: single,none,3,car or other (not in savings),34,none,own,1,skilled employee/official,1,none,yes,1
77,0 ≤ ... < 200 DM,11,delay in past,radio/television,4771,< 100 DM,4 ≤ ... < 7 years,2,male: single,none,4,building-soc savings / life insurance,51,none,own,1,skilled employee/official,1,none,yes,0
78,no checking account,54,no credits / all paid duly,car (used),9436,unknown / none,1 ≤ ... < 4 years,2,male: single,none,2,building-soc savings / life insurance,39,none,own,1,unskilled - resident,2,none,yes,0
79,0 ≤ ... < 200 DM,30,existing credits paid duly till now,furniture/equipment,3832,< 100 DM,< 1 year,2,male: married/widowed,none,1,building-soc savings / life insurance,22,none,own,1,skilled employee/official,1,none,yes,0
80,no checking account,24,existing credits paid duly till now,radio/television,5943,unknown / none,< 1 year,1,female: divorced/separated/married,none,1,car or other (not in savings),44,none,own,2,skilled employee/official,1,"yes, registered",yes,1
81,no checking account,15,existing credits paid duly till now,radio/television,1213,500 ≤ ... < 1000 DM,≥ 7 years,4,male: single,none,3,building-soc savings / life insurance,47,stores,own,1,skilled employee/official,1,"yes, registered",yes,0
82,no checking account,18,existing credits paid duly till now,business,1568,100 ≤ ... < 500 DM,1 ≤ ... < 4 years,3,female: divorced/separated/married,none,4,building-soc savings / life insurance,24,none,rent,1,unskilled - resident,1,none,yes,0
83,< 0 DM,24,existing credits paid duly till now,others,1755,< 100 DM,≥ 7 years,4,female: divorced/separated/married,guarantor,4,real estate,58,none,own,1,unskilled - resident,1,"yes, registered",yes,0
84,< 0 DM,10,existing credits paid duly till now,radio/television,2315,< 100 DM,≥ 7 years,3,male: single,none,4,real estate,52,none,own,1,unskilled - resident,1,none,yes,0
85,no checking account,12,critical account / other credits elsewhere,business,1412,< 100 DM,1 ≤ ... < 4 years,4,female: divorced/separated/married,guarantor,2,real estate,29,none,own,2,management/self-employed/highly-qualified/officer,1,"yes, registered",yes,0
86,0 ≤ ... < 200 DM,18,critical account / other credits elsewhere,furniture/equipment,1295,< 100 DM,< 1 year,4,female: divorced/separated/married,none,1,building-soc savings / life insurance,27,none,own,2,skilled employee/official,1,none,yes,0
87,0 ≤ ... < 200 DM,36,existing credits paid duly till now,education,12612,100 ≤ ... < 500 DM,1 ≤ ... < 4 years,1,male: single,none,4,unknown / none,47,none,for free,1,skilled employee/official,2,"yes, registered",yes,1
88,< 0 DM,18,existing credits paid duly till now,car (new),2249,100 ≤ ... < 500 DM,4 ≤ ... < 7 years,4,male: single,none,3,car or other (not in savings),30,none,own,1,management/self-employed/highly-qualified/officer,2,"yes, registered",yes,0
89,< 0 DM,12,no credits / all paid duly,repairs,1108,< 100 DM,4 ≤ ... < 7 years,4,male: single,none,3,real estate,28,none,own,2,skilled employee/official,1,none,yes,1
90,no checking account,12,critical account / other credits elsewhere,radio/television,618,< 100 DM,≥ 7 years,4,male: single,none,4,real estate,56,none,own,1,skilled employee/official,1,none,yes,0
91,< 0 DM,12,critical account / other credits elsewhere,car (used),1409,< 100 DM,≥ 7 years,4,male: single,none,3,real estate,54,none,own,1,skilled employee/official,1,none,yes,0
92,no checking account,12,critical account / other credits elsewhere,radio/television,797,unknown / none,≥ 7 years,4,female: divorced/separated/married,none,3,building-soc savings / life insurance,33,bank,own,1,unskilled - resident,2,none,yes,1
93,≥ 200 DM / salary assignment ≥ 1y,24,critical account / other credits elsewhere,furniture/equipment,3617,unknown / none,≥ 7 years,4,male: single,co-applicant,4,unknown / none,20,none,rent,2,skilled employee/official,1,none,yes,0
94,0 ≤ ... < 200 DM,12,existing credits paid duly till now,car (new),1318,≥ 1000 DM,≥ 7 years,4,male: single,none,4,real estate,54,none,own,1,skilled employee/official,1,"yes, registered",yes,0
95,0 ≤ ... < 200 DM,54,no credits / all paid duly,business,15945,< 100 DM,< 1 year,3,male: single,none,4,unknown / none,58,none,rent,1,skilled employee/official,1,"yes, registered",yes,1
96,no checking account,12,critical account / other credits elsewhere,education,2012,unknown / none,4 ≤ ... < 7 years,4,female: divorced/separated/married,none,2,car or other (not in savings),61,none,own,1,skilled employee/official,1,none,yes,0
97,0 ≤ ... < 200 DM,18,existing credits paid duly till now,business,2622,100 ≤ ... < 500 DM,1 ≤ ... < 4 years,4,male: single,none,4,car or other (not in savings),34,none,own,1,skilled employee/official,1,none,yes,0
98,0 ≤ ... < 200 DM,36,critical account / other credits elsewhere,radio/television,2337,< 100 DM,≥ 7 years,4,male: single,none,4,real estate,36,none,own,1,skilled employee/official,1,none,yes,0
99,0 ≤ ... < 200 DM,20,delay in past,car (used),7057,unknown / none,4 ≤ ... < 7 years,3,male: single,none,4,building-soc savings / life insurance,36,bank,rent,2,management/self-employed/highly-qualified/officer,2,"yes, registered",yes,0
100,no checking account,24,existing credits paid duly till now,car (new),1469,100 ≤ ... < 500 DM,≥ 7 years,4,male: married/widowed,none,4,real estate,41,none,rent,1,unskilled - resident,1,none,yes,0
101,0 ≤ ... < 200 DM,36,existing credits paid duly till now,radio/television,2323,< 100 DM,4 ≤ ... < 7 years,4,male: single,none,4,car or other (not in savings),24,none,rent,1,skilled employee/official,1,none,yes,0
102,no checking account,6,delay in past,radio/television,932,< 100 DM,1 ≤ ... < 4 years,3,female: divorced/separated/married,none,2,real estate,24,none,own,1,skilled employee/official,1,none,yes,0
103,0 ≤ ... < 200 DM,9,critical account / other credits elsewhere,furniture/equipment,1919,< 100 DM,4 ≤ ... < 7 years,4,male: single,none,3,car or other (not in savings),35,none,rent,1,skilled employee/official,1,"yes, registered",yes,0
104,no checking account,12,existing credits paid duly till now,car (used),2445,unknown / none,< 1 year,2,male: married/widowed,none,4,car or other (not in savings),26,none,rent,1,skilled employee/official,1,"yes, registered",yes,0
105,0 ≤ ... < 200 DM,24,critical account / other credits elsewhere,others,11938,< 100 DM,1 ≤ ... < 4 years,2,male: single,co-applicant,3,car or other (not in savings),39,none,own,2,management/self-employed/highly-qualified/officer,2,"yes, registered",yes,1
106,no checking account,18,all credits at this bank paid duly,car (new),6458,< 100 DM,≥ 7 years,2,male: single,none,4,unknown / none,39,bank,own,2,management/self-employed/highly-qualified/officer,2,"yes, registered",yes,1
107,0 ≤ ... < 200 DM,12,existing credits paid duly till now,car (new),6078,< 100 DM,4 ≤ ... < 7 years,2,male: single,none,2,car or other (not in savings),32,none,own,1,skilled employee/official,1,none,yes,0
108,< 0 DM,24,existing credits paid duly till now,furniture/equipment,7721,unknown / none,< 1 year,1,female: divorced/separated/married,none,2,building-soc savings / life insurance,30,none,own,1,skilled employee/official,1,"yes, registered",no,0
109,0 ≤ ... < 200 DM,14,existing credits paid duly till now,business,1410,500 ≤ ... < 1000 DM,≥ 7 years,1,male: married/widowed,none,2,real estate,35,none,own,1,skilled employee/official,1,"yes, registered",yes,0
110,0 ≤ ... < 200 DM,6,delay in past,business,1449,100 ≤ ... < 500 DM,≥ 7 years,1,male: divorced/separated,none,2,car or other (not in savings),31,bank,own,2,skilled employee/official,2,none,yes,0
111,≥ 200 DM / salary assignment ≥ 1y,15,existing credits paid duly till now,education,392,< 100 DM,< 1 year,4,female: divorced/separated/married,none,4,building-soc savings / life insurance,23,none,rent,1,skilled employee/official,1,"yes, registered",yes,0
112,0 ≤ ... < 200 DM,18,existing credits paid duly till now,car (new),6260,< 100 DM,4 ≤ ... < 7 years,3,male: single,none,3,real estate,28,none,rent,1,unskilled - resident,1,none,yes,0
113,no checking account,36,critical account / other credits elsewhere,car (new),7855,< 100 DM,1 ≤ ... < 4 years,4,female: divorced/separated/married,none,2,real estate,25,stores,own,2,skilled employee/official,1,"yes, registered",yes,1
114,< 0 DM,12,existing credits paid duly till now,radio/television,1680,500 ≤ ... < 1000 DM,≥ 7 years,3,male: married/widowed,none,1,real estate,35,none,own,1,skilled employee/official,1,none,yes,0
115,no checking account,48,critical account / other credits elsewhere,radio/television,3578,unknown / none,≥ 7 years,4,male: single,none,1,real estate,47,none,own,1,skilled employee/official,1,"yes, registered",yes,0
116,< 0 DM,42,existing credits paid duly till now,radio/television,7174,unknown / none,4 ≤ ... < 7 years,4,female: divorced/separated/married,none,3,car or other (not in savings),30,none,own,1,management/self-employed/highly-qualified/officer,1,"yes, registered",yes,1
117,< 0 DM,10,critical account / other credits elsewhere,furniture/equipment,2132,unknown / none,< 1 year,2,female: divorced/separated/married,co-applicant,3,real estate,27,none,rent,2,skilled employee/official,1,none,no,0
118,< 0 DM,33,critical account / other credits elsewhere,furniture/equipment,4281,500 ≤ ... < 1000 DM,1 ≤ ... < 4 years,1,female: divorced/separated/married,none,4,car or other (not in savings),23,none,own,2,skilled employee/official,1,none,yes,1
119,0 ≤ ... < 200 DM,12,critical account / other credits elsewhere,car (new),2366,500 ≤ ... < 1000 DM,4 ≤ ... < 7 years,3,male: divorced/separated,none,3,car or other (not in savings),36,none,own,1,management/self-employed/highly-qualified/officer,1,"yes, registered",yes,0
120,< 0 DM,21,existing credits paid duly till now,radio/television,1835,< 100 DM,1 ≤ ... < 4 years,3,female: divorced/separated/married,none,2,real estate,25,none,own,2,skilled employee/official,1,"yes, registered",yes,1
121,no checking account,24,critical account / other credits elsewhere,car (used),3868,< 100 DM,≥ 7 years,4,female: divorced/separated/married,none,2,car or other (not in savings),41,none,rent,2,management/self-employed/highly-qualified/officer,1,"yes, registered",yes,0
122,no checking account,12,existing credits paid duly till now,furniture/equipment,1768,< 100 DM,1 ≤ ... < 4 years,3,male: single,none,2,real estate,24,none,rent,1,unskilled - resident,1,none,yes,0
123,≥ 200 DM / salary assignment ≥ 1y,10,critical account / other credits elsewhere,car (new),781,< 100 DM,≥ 7 years,4,male: single,none,4,unknown / none,63,none,for free,2,skilled employee/official,1,"yes, registered",yes,0
124,0 ≤ ... < 200 DM,18,existing credits paid duly till now,furniture/equipment,1924,unknown / none,< 1 year,4,female: divorced/separated/married,none,3,real estate,27,none,rent,1,skilled employee/official,1,none,yes,1
125,< 0 DM,12,critical account / other credits elsewhere,car (new),2121,< 100 DM,1 ≤ ... < 4 years,4,male: single,none,2,building-soc savings / life insurance,30,none,own,2,skilled employee/official,1,none,yes,0
126,< 0 DM,12,existing credits paid duly till now,radio/television,701,< 100 DM,1 ≤ ... < 4 years,4,male: married/widowed,none,2,real estate,40,none,own,1,unskilled - resident,1,none,yes,0
127,0 ≤ ... < 200 DM,12,existing credits paid duly till now,repairs,639,< 100 DM,1 ≤ ... < 4 years,4,male: single,none,2,car or other (not in savings),30,none,own,1,skilled employee/official,1,none,yes,1
128,0 ≤ ... < 200 DM,12,critical account / other credits elsewhere,car (used),1860,< 100 DM,unemployed,4,male: single,none,2,car or other (not in savings),34,none,own,2,management/self-employed/highly-qualified/officer,1,"yes, registered",yes,0
129,< 0 DM,12,critical account / other credits elsewhere,car (new),3499,< 100 DM,1 ≤ ... < 4 years,3,female: divorced/separated/married,co-applicant,2,real estate,29,none,own,2,skilled employee/official,1,none,yes,1
130,0 ≤ ... < 200 DM,48,existing credits paid duly till now,car (new),8487,unknown / none,4 ≤ ... < 7 years,1,female: divorced/separated/married,none,2,car or other (not in savings),24,none,own,1,skilled employee/official,1,none,yes,0
131,< 0 DM,36,delay in past,education,6887,< 100 DM,1 ≤ ... < 4 years,4,male: single,none,3,building-soc savings / life insurance,29,stores,own,1,skilled employee/official,1,"yes, registered",yes,1
132,no checking account,15,existing credits paid duly till now,furniture/equipment,2708,< 100 DM,< 1 year,2,male: single,none,3,building-soc savings / life insurance,27,bank,own,2,unskilled - resident,1,none,yes,0
133,no checking account,18,existing credits paid duly till now,furniture/equipment,1984,< 100 DM,1 ≤ ... < 4 years,4,male: single,none,4,unknown / none,47,bank,for free,2,skilled employee/official,1,none,yes,0
134,no checking account,60,existing credits paid duly till now,radio/television,10144,100 ≤ ... < 500 DM,4 ≤ ... < 7 years,2,female: divorced/separated/married,none,4,real estate,21,none,own,1,skilled employee/official,1,"yes, registered",yes,0
135,no checking account,12,critical account / other credits elsewhere,radio/television,1240,unknown / none,≥ 7 years,4,female: divorced/separated/married,none,2,real estate,38,none,own,2,skilled employee/official,1,"yes, registered",yes,0
